;Time;CP;RT;Absorbance;;;;;;;;;;;;;;;
A;0;1;1;1.025;;;;;;;;;;;;;;;
B;0;1;1;1.067;;;;;;;;;;;;;;;
C;0;1;2;0.729;;;;;;;;;;;;;;;
D;0;1;2;0.704;;;;;;;;;;;;;;;
E;0;1;3;0.364;;;;;;;;;;;;;;;
F;0;1;3;0.352;;;;;;;;;;;;;;;
A;0;5;1;0.912;;;;;;;;;;;;;;;
B;0;5;1;1.064;;;;;;;;;;;;;;;
C;0;5;2;0.635;;;;;;;;;;;;;;;
D;0;5;2;0.639;;;;;;;;;;;;;;;
E;0;5;3;0.334;;;;;;;;;;;;;;;
F;0;5;3;0.321;;;;;;;;;;;;;;;
A;10;1;1;1.049;;;;;;;;;;;;;;;
B;10;1;1;1.080;;;;;;;;;;;;;;;
C;10;1;2;0.732;;;;;;;;;;;;;;;
D;10;1;2;0.708;;;;;;;;;;;;;;;
E;10;1;3;0.363;;;;;;;;;;;;;;;
F;10;1;3;0.351;;;;;;;;;;;;;;;
A;10;5;1;0.838;;;;;;;;;;;;;;;
B;10;5;1;1.002;;;;;;;;;;;;;;;
C;10;5;2;0.588;;;;;;;;;;;;;;;
D;10;5;2;0.590;;;;;;;;;;;;;;;
E;10;5;3;0.316;;;;;;;;;;;;;;;
F;10;5;3;0.304;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
